ID,x,tx,T,num
1,2,30.43,38.86,1
2,1,1.71,38.86,1
3,0,0,38.86,1
4,0,0,38.86,1
5,0,0,38.86,1
6,7,29.43,38.86,1
7,1,5,38.86,1
8,0,0,38.86,1
9,2,35.71,38.86,1
10,0,0,38.86,1
11,5,24.43,38.86,1
12,0,0,38.86,1
13,0,0,38.86,1
14,0,0,38.86,1
15,0,0,38.86,1
16,0,0,38.86,1
17,10,34.14,38.86,1
18,1,4.86,38.86,1
19,3,28.29,38.71,1
20,0,0,38.71,1
21,2,14.57,38.71,1
22,0,0,38.71,1
23,0,0,38.71,1
24,0,0,38.71,1
25,0,0,38.71,1
26,1,1.57,38.71,1
27,0,0,38.71,1
28,1,29.43,38.71,1
29,0,0,38.71,1
30,1,5.86,38.71,1
31,0,0,38.71,1
32,0,0,38.71,1
33,0,0,38.71,1
34,0,0,38.71,1
35,1,27.14,38.71,1
36,0,0,38.71,1
37,0,0,38.71,1
38,1,2.14,38.71,1
39,0,0,38.71,1
40,0,0,38.71,1
41,0,0,38.57,1
42,0,0,38.57,1
43,0,0,38.57,1
44,0,0,38.57,1
45,1,24.43,38.57,1
46,12,34.43,38.57,1
47,0,0,38.57,1
48,0,0,38.57,1
49,1,1.57,38.57,1
50,0,0,38.57,1
51,0,0,38.57,1
52,0,0,38.57,1
53,0,0,38.57,1
54,0,0,38.57,1
55,0,0,38.57,1
56,2,33.14,38.57,1
57,1,4.29,38.57,1
58,0,0,38.43,1
59,1,38.43,38.43,1
60,0,0,38.43,1
61,4,29.43,38.43,1
62,0,0,38.43,1
63,1,16.14,38.43,1
64,0,0,38.43,1
65,0,0,38.43,1
66,0,0,38.43,1
67,2,21.14,38.43,1
68,0,0,38.43,1
69,0,0,38.43,1
70,3,29.29,38.43,1
71,0,0,38.43,1
72,0,0,38.43,1
73,1,5.86,38.43,1
74,0,0,38.43,1
75,1,5.14,38.43,1
76,0,0,38.43,1
77,0,0,38.43,1
78,0,0,38.29,1
79,3,16.86,38.29,1
80,0,0,38.29,1
81,0,0,38.29,1
82,1,7.43,38.29,1
83,0,0,38.29,1
84,0,0,38.29,1
85,0,0,38.29,1
86,7,26.43,38.29,1
87,0,0,38.29,1
88,10,35.43,38.29,1
89,0,0,38.29,1
90,0,0,38.29,1
91,1,33.29,38.29,1
92,6,37.43,38.29,1
93,0,0,38.29,1
94,0,0,38.29,1
95,0,0,38.29,1
96,0,0,38.29,1
97,0,0,38.29,1
98,2,31.86,38.29,1
99,4,37.57,38.29,1
100,1,23.86,38.29,1
101,5,36.14,38.14,1
102,0,0,38.14,1
103,0,0,38.14,1
104,0,0,38.14,1
105,1,24.14,38.14,1
106,1,6.14,38.14,1
107,0,0,38.14,1
108,0,0,38.14,1
109,1,0.29,38.14,1
110,0,0,38.14,1
111,1,0.29,38.14,1
112,0,0,38.14,1
113,0,0,38.14,1
114,1,24.14,38.14,1
115,0,0,38.14,1
116,1,5.29,38.14,1
117,0,0,38.14,1
118,0,0,38.14,1
119,0,0,38.14,1
120,0,0,38.14,1
121,1,3,38.14,1
122,0,0,38.14,1
123,0,0,38.14,1
124,0,0,38.14,1
125,1,7.14,38.14,1
126,0,0,38,1
127,0,0,38,1
128,0,0,38,1
129,4,7.57,38,1
130,3,26,38,1
131,0,0,38,1
132,1,24,38,1
133,2,28.43,38,1
134,0,0,38,1
135,1,23.43,38,1
136,2,7.43,38,1
137,0,0,38,1
138,2,16.86,38,1
139,1,2.14,38,1
140,1,15.71,38,1
141,0,0,38,1
142,5,6.86,38,1
143,2,28.57,38,1
144,7,34.14,38,1
145,2,35.71,38,1
146,0,0,38,1
147,4,29.29,38,1
148,13,37.86,38,1
149,0,0,38,1
150,4,33,38,1
151,4,35.29,38,1
152,0,0,38,1
153,0,0,38,1
154,1,2.86,38,1
155,0,0,38,1
156,1,6.43,38,1
157,29,37.71,38,1
158,0,0,37.86,1
159,3,24.71,37.86,1
160,0,0,37.86,1
161,0,0,37.86,1
162,1,2,37.86,1
163,0,0,37.86,1
164,10,37,37.86,1
165,0,0,37.86,1
166,0,0,37.86,1
167,13,28.14,37.86,1
168,0,0,37.86,1
169,0,0,37.86,1
170,1,37.43,37.86,1
171,0,0,37.86,1
172,0,0,37.86,1
173,0,0,37.86,1
174,0,0,37.86,1
175,0,0,37.86,1
176,0,0,37.71,1
177,0,0,37.71,1
178,6,32.86,37.71,1
179,8,36.14,37.71,1
180,0,0,37.71,1
181,0,0,37.71,1
182,0,0,37.71,1
183,1,5,37.71,1
184,0,0,37.71,1
185,4,36.14,37.71,1
186,0,0,37.71,1
187,2,7.86,37.71,1
188,3,21.14,37.71,1
189,3,6,37.71,1
190,0,0,37.71,1
191,0,0,37.71,1
192,0,0,37.71,1
193,0,0,37.71,1
194,0,0,37.71,1
195,6,27,37.71,1
196,0,0,37.71,1
197,1,1.57,37.71,1
198,0,0,37.71,1
199,0,0,37.71,1
200,2,14.29,37.57,1
201,0,0,37.57,1
202,2,7,37.57,1
203,2,31,37.57,1
204,0,0,37.57,1
205,0,0,37.57,1
206,1,18,37.57,1
207,0,0,37.57,1
208,1,0.29,37.57,1
209,0,0,37.57,1
210,0,0,37.57,1
211,7,17.86,37.57,1
212,0,0,37.57,1
213,0,0,37.57,1
214,0,0,37.57,1
215,2,29,37.57,1
216,0,0,37.57,1
217,4,24.29,37.57,1
218,0,0,37.43,1
219,1,14.86,37.43,1
220,1,27.43,37.43,1
221,0,0,37.43,1
222,0,0,37.43,1
223,0,0,37.43,1
224,0,0,37.43,1
225,0,0,37.43,1
226,2,11.43,37.43,1
227,0,0,37.43,1
228,1,2,37.43,1
229,1,1.86,37.43,1
230,2,33,37.43,1
231,0,0,37.43,1
232,3,36.57,37.43,1
233,0,0,37.43,1
234,0,0,37.43,1
235,0,0,37.43,1
236,0,0,37.43,1
237,0,0,37.43,1
238,0,0,37.43,1
239,0,0,37.43,1
240,0,0,37.43,1
241,0,0,37.43,1
242,4,31.43,37.43,1
243,1,8.29,37.29,1
244,5,5.14,37.29,1
245,0,0,37.29,1
246,0,0,37.29,1
247,2,24,37.29,1
248,0,0,37.29,1
249,1,1.86,37.29,1
250,2,20.43,37.29,1
251,0,0,37.29,1
252,0,0,37.29,1
253,1,32,37.29,1
254,0,0,37.29,1
255,1,0.43,37.29,1
256,0,0,37.29,1
257,5,16.14,37.29,1
258,0,0,37.29,1
259,0,0,37.29,1
260,1,5.86,37.29,1
261,2,28.57,37.29,1
262,0,0,37.29,1
263,1,36.86,37.29,1
264,0,0,37.29,1
265,0,0,37.29,1
266,1,0.14,37.29,1
267,2,35.57,37.29,1
268,1,5.71,37.29,1
269,0,0,37.14,1
270,1,2,37.14,1
271,0,0,37.14,1
272,1,3.86,37.14,1
273,0,0,37.14,1
274,3,24.29,37.14,1
275,1,34,37.14,1
276,13,30.71,37.14,1
277,0,0,37.14,1
278,0,0,37.14,1
279,0,0,37.14,1
280,0,0,37.14,1
281,0,0,37.14,1
282,3,19.43,37.14,1
283,3,32.86,37.14,1
284,1,3,37.14,1
285,0,0,37.14,1
286,0,0,37.14,1
287,3,31.57,37.14,1
288,0,0,37.14,1
289,5,36.43,37.14,1
290,0,0,37.14,1
291,2,35.43,37.14,1
292,1,0.43,37.14,1
293,0,0,37.14,1
294,1,0.71,37.14,1
295,0,0,37.14,1
296,0,0,37.14,1
297,1,15.29,37,1
298,1,1.14,37,1
299,0,0,37,1
300,0,0,37,1
301,0,0,37,1
302,3,34.43,37,1
303,1,36.29,37,1
304,1,17.86,37,1
305,0,0,37,1
306,1,3.43,37,1
307,0,0,37,1
308,0,0,37,1
309,0,0,37,1
310,4,4.29,37,1
311,0,0,37,1
312,2,34.57,37,1
313,0,0,37,1
314,3,27.71,37,1
315,0,0,37,1
316,0,0,37,1
317,1,19.86,37,1
318,0,0,37,1
319,1,16.57,37,1
320,0,0,37,1
321,2,32,37,1
322,0,0,36.86,1
323,1,8.86,36.86,1
324,3,2.71,36.86,1
325,25,27.29,36.86,1
326,0,0,36.86,1
327,0,0,36.86,1
328,0,0,36.86,1
329,0,0,36.86,1
330,5,22.57,36.86,1
331,0,0,36.86,1
332,2,14.14,36.86,1
333,0,0,36.86,1
334,0,0,36.86,1
335,0,0,36.86,1
336,5,36,36.86,1
337,0,0,36.86,1
338,0,0,36.86,1
339,1,22.43,36.86,1
340,0,0,36.86,1
341,0,0,36.86,1
342,0,0,36.86,1
343,0,0,36.86,1
344,2,22.57,36.71,1
345,0,0,36.71,1
346,0,0,36.71,1
347,0,0,36.71,1
348,1,22.57,36.71,1
349,0,0,36.71,1
350,2,22.57,36.71,1
351,1,9.57,36.71,1
352,0,0,36.71,1
353,0,0,36.71,1
354,0,0,36.71,1
355,0,0,36.71,1
356,0,0,36.71,1
357,1,2.57,36.71,1
358,2,23.71,36.71,1
359,0,0,36.71,1
360,0,0,36.71,1
361,0,0,36.71,1
362,0,0,36.71,1
363,2,10.57,36.71,1
364,4,28.71,36.71,1
365,0,0,36.71,1
366,0,0,36.57,1
367,1,11.71,36.57,1
368,3,17.43,36.57,1
369,0,0,36.57,1
370,1,14.14,36.57,1
371,0,0,36.57,1
372,0,0,36.57,1
373,0,0,36.57,1
374,0,0,36.57,1
375,0,0,36.57,1
376,1,5.71,36.57,1
377,1,10.43,36.57,1
378,1,22,36.57,1
379,0,0,36.57,1
380,0,0,36.57,1
381,0,0,36.57,1
382,11,36.43,36.57,1
383,0,0,36.57,1
384,0,0,36.57,1
385,4,31.14,36.57,1
386,0,0,36.57,1
387,0,0,36.57,1
388,1,15.29,36.43,1
389,2,10.14,36.43,1
390,0,0,36.43,1
391,0,0,36.43,1
392,0,0,36.43,1
393,0,0,36.43,1
394,1,25.86,36.43,1
395,1,4.43,36.43,1
396,0,0,36.43,1
397,3,21.29,36.43,1
398,1,8,36.43,1
399,0,0,36.43,1
400,0,0,36.43,1
401,2,21.86,36.43,1
402,0,0,36.43,1
403,8,31.14,36.43,1
404,1,6.14,36.43,1
405,0,0,36.43,1
406,2,15.86,36.43,1
407,1,31.86,36.43,1
408,0,0,36.43,1
409,0,0,36.43,1
410,1,21.71,36.43,1
411,0,0,36.43,1
412,2,3.43,36.43,1
413,0,0,36.43,1
414,0,0,36.43,1
415,3,20.86,36.29,1
416,0,0,36.29,1
417,0,0,36.29,1
418,0,0,36.29,1
419,0,0,36.29,1
420,0,0,36.29,1
421,0,0,36.29,1
422,2,12.43,36.29,1
423,2,19.71,36.29,1
424,0,0,36.29,1
425,0,0,36.29,1
426,0,0,36.29,1
427,1,4.43,36.29,1
428,2,30,36.29,1
429,0,0,36.29,1
430,0,0,36.29,1
431,0,0,36.29,1
432,0,0,36.29,1
433,0,0,36.29,1
434,1,8.43,36.29,1
435,0,0,36.29,1
436,0,0,36.29,1
437,0,0,36.29,1
438,0,0,36.29,1
439,1,18.14,36.29,1
440,2,26.14,36.29,1
441,4,26.71,36.29,1
442,0,0,36.29,1
443,0,0,36.29,1
444,2,3.14,36.14,1
445,0,0,36.14,1
446,6,27.14,36.14,1
447,0,0,36.14,1
448,1,2.14,36.14,1
449,0,0,36.14,1
450,1,7.86,36.14,1
451,1,8.86,36.14,1
452,1,17,36.14,1
453,2,11,36.14,1
454,1,27.14,36.14,1
455,0,0,36.14,1
456,7,28.29,36.14,1
457,4,15.14,36.14,1
458,0,0,36.14,1
459,0,0,36.14,1
460,0,0,36.14,1
461,7,25.43,36.14,1
462,0,0,36.14,1
463,1,8.57,36.14,1
464,1,17,36.14,1
465,0,0,36.14,1
466,2,23,36.14,1
467,1,31.57,36.14,1
468,0,0,36.14,1
469,4,30.43,36.14,1
470,0,0,36.14,1
471,1,2.43,36.14,1
472,0,0,36.14,1
473,0,0,36.14,1
474,2,33.71,36.14,1
475,0,0,36.14,1
476,0,0,36.14,1
477,4,36,36.14,1
478,0,0,36.14,1
479,0,0,36,1
480,2,21.29,36,1
481,1,21.57,36,1
482,0,0,36,1
483,1,8.57,36,1
484,0,0,36,1
485,11,33.14,36,1
486,0,0,36,1
487,4,9,36,1
488,0,0,36,1
489,0,0,36,1
490,0,0,36,1
491,4,17.43,36,1
492,0,0,36,1
493,3,30.43,36,1
494,0,0,36,1
495,1,36,36,1
496,1,2.14,36,1
497,0,0,36,1
498,0,0,36,1
499,6,26.57,36,1
500,3,5.57,36,1
501,0,0,36,1
502,0,0,36,1
503,0,0,36,1
504,0,0,35.86,1
505,2,14.29,35.86,1
506,0,0,35.86,1
507,2,31,35.86,1
508,0,0,35.86,1
509,18,35.14,35.86,1
510,0,0,35.86,1
511,1,5.29,35.86,1
512,0,0,35.86,1
513,1,7.86,35.86,1
514,0,0,35.86,1
515,0,0,35.86,1
516,0,0,35.86,1
517,5,29.57,35.86,1
518,0,0,35.86,1
519,1,35.86,35.86,1
520,0,0,35.86,1
521,6,34.86,35.86,1
522,0,0,35.86,1
523,2,11.14,35.86,1
524,0,0,35.86,1
525,0,0,35.86,1
526,2,22.71,35.86,1
527,0,0,35.86,1
528,1,29.86,35.86,1
529,1,20.86,35.71,1
530,0,0,35.71,1
531,0,0,35.71,1
532,1,12.86,35.71,1
533,0,0,35.71,1
534,1,4.57,35.71,1
535,2,29.43,35.71,1
536,0,0,35.71,1
537,0,0,35.71,1
538,0,0,35.71,1
539,1,0.14,35.71,1
540,0,0,35.71,1
541,2,31.71,35.71,1
542,0,0,35.71,1
543,2,22.43,35.71,1
544,0,0,35.71,1
545,0,0,35.71,1
546,0,0,35.71,1
547,0,0,35.71,1
548,1,22,35.71,1
549,10,33.57,35.71,1
550,0,0,35.71,1
551,1,6.71,35.71,1
552,3,3.43,35.71,1
553,3,23.71,35.71,1
554,0,0,35.71,1
555,2,32.43,35.71,1
556,0,0,35.71,1
557,0,0,35.71,1
558,12,23.86,35.57,1
559,0,0,35.57,1
560,1,7.57,35.57,1
561,2,29,35.57,1
562,2,34.43,35.57,1
563,0,0,35.57,1
564,0,0,35.57,1
565,0,0,35.57,1
566,0,0,35.57,1
567,5,33.43,35.57,1
568,0,0,35.57,1
569,0,0,35.57,1
570,2,24.86,35.57,1
571,0,0,35.57,1
572,5,8.71,35.57,1
573,0,0,35.57,1
574,1,26.71,35.57,1
575,1,5.43,35.57,1
576,0,0,35.57,1
577,1,7.29,35.57,1
578,0,0,35.57,1
579,0,0,35.57,1
580,0,0,35.57,1
581,0,0,35.57,1
582,0,0,35.57,1
583,0,0,35.57,1
584,1,35.43,35.43,1
585,2,21.57,35.43,1
586,0,0,35.43,1
587,0,0,35.43,1
588,0,0,35.43,1
589,0,0,35.43,1
590,0,0,35.43,1
591,0,0,35.43,1
592,1,29,35.43,1
593,7,17.14,35.43,1
594,0,0,35.43,1
595,0,0,35.43,1
596,2,32.71,35.43,1
597,0,0,35.43,1
598,0,0,35.43,1
599,2,25.86,35.43,1
600,0,0,35.43,1
601,4,21.43,35.43,1
602,0,0,35.43,1
603,0,0,35.43,1
604,3,30,35.43,1
605,0,0,35.43,1
606,1,31.29,35.43,1
607,0,0,35.43,1
608,2,13.57,35.43,1
609,2,22,35.43,1
610,0,0,35.43,1
611,1,10.29,35.29,1
612,1,20.86,35.29,1
613,2,33.57,35.29,1
614,0,0,35.29,1
615,0,0,35.29,1
616,0,0,35.29,1
617,0,0,35.29,1
618,2,3.86,35.29,1
619,0,0,35.29,1
620,0,0,35.29,1
621,1,7.86,35.29,1
622,0,0,35.29,1
623,1,23.86,35.29,1
624,0,0,35.29,1
625,3,11.14,35.29,1
626,0,0,35.29,1
627,0,0,35.29,1
628,0,0,35.29,1
629,0,0,35.29,1
630,1,34.29,35.29,1
631,0,0,35.29,1
632,0,0,35.29,1
633,1,2.71,35.29,1
634,0,0,35.29,1
635,0,0,35.29,1
636,0,0,35.29,1
637,0,0,35.14,1
638,0,0,35.14,1
639,0,0,35.14,1
640,0,0,35.14,1
641,3,26.71,35.14,1
642,0,0,35.14,1
643,4,28.43,35.14,1
644,0,0,35.14,1
645,0,0,35.14,1
646,0,0,35.14,1
647,0,0,35.14,1
648,2,11.57,35.14,1
649,1,8.57,35.14,1
650,1,6.43,35.14,1
651,0,0,35.14,1
652,0,0,35.14,1
653,0,0,35.14,1
654,0,0,35.14,1
655,5,31.14,35.14,1
656,1,5.86,35.14,1
657,0,0,35.14,1
658,0,0,35.14,1
659,1,7.14,35.14,1
660,2,8.29,35.14,1
661,1,33.71,35.14,1
662,0,0,35.14,1
663,0,0,35.14,1
664,0,0,35.14,1
665,0,0,35.14,1
666,1,20.86,35,1
667,0,0,35,1
668,8,33.57,35,1
669,1,4.43,35,1
670,0,0,35,1
671,6,29.29,35,1
672,1,8.14,35,1
673,2,3.86,35,1
674,0,0,35,1
675,3,25.29,35,1
676,6,23,35,1
677,0,0,35,1
678,1,20.43,35,1
679,0,0,35,1
680,2,16.29,35,1
681,5,25.14,35,1
682,0,0,35,1
683,1,28,35,1
684,0,0,35,1
685,0,0,35,1
686,0,0,35,1
687,0,0,35,1
688,0,0,35,1
689,0,0,35,1
690,1,18.86,35,1
691,1,6,35,1
692,0,0,35,1
693,13,34.43,35,1
694,0,0,35,1
695,0,0,35,1
696,1,3.57,35,1
697,3,25.86,34.86,1
698,0,0,34.86,1
699,5,14.43,34.86,1
700,0,0,34.86,1
701,2,17.43,34.86,1
702,1,22.86,34.86,1
703,0,0,34.86,1
704,0,0,34.86,1
705,1,11.14,34.86,1
706,0,0,34.86,1
707,1,4,34.86,1
708,1,0.57,34.86,1
709,0,0,34.86,1
710,0,0,34.86,1
711,0,0,34.86,1
712,4,30.57,34.86,1
713,6,33.57,34.86,1
714,1,1.71,34.86,1
715,2,9.71,34.86,1
716,0,0,34.86,1
717,0,0,34.86,1
718,2,12,34.86,1
719,0,0,34.86,1
720,7,34.86,34.86,1
721,0,0,34.86,1
722,0,0,34.86,1
723,0,0,34.86,1
724,0,0,34.86,1
725,0,0,34.86,1
726,3,20.29,34.86,1
727,0,0,34.86,1
728,5,17,34.86,1
729,0,0,34.86,1
730,2,10.57,34.71,1
731,1,4.57,34.71,1
732,3,33.71,34.71,1
733,0,0,34.71,1
734,0,0,34.71,1
735,0,0,34.71,1
736,0,0,34.71,1
737,0,0,34.71,1
738,0,0,34.71,1
739,1,13.29,34.71,1
740,0,0,34.71,1
741,1,24.86,34.71,1
742,0,0,34.71,1
743,0,0,34.71,1
744,0,0,34.71,1
745,2,14.43,34.71,1
746,0,0,34.71,1
747,1,12.57,34.71,1
748,0,0,34.71,1
749,0,0,34.71,1
750,1,7.14,34.71,1
751,10,29.29,34.71,1
752,0,0,34.71,1
753,0,0,34.71,1
754,0,0,34.71,1
755,0,0,34.71,1
756,3,16.43,34.71,1
757,3,17.14,34.71,1
758,0,0,34.71,1
759,0,0,34.71,1
760,2,9.14,34.57,1
761,5,34.57,34.57,1
762,4,23.14,34.57,1
763,0,0,34.57,1
764,0,0,34.57,1
765,0,0,34.57,1
766,0,0,34.57,1
767,0,0,34.57,1
768,0,0,34.57,1
769,0,0,34.57,1
770,1,3.71,34.57,1
771,0,0,34.57,1
772,0,0,34.57,1
773,0,0,34.57,1
774,0,0,34.57,1
775,1,16,34.57,1
776,1,0.29,34.57,1
777,3,9.29,34.57,1
778,1,8.71,34.57,1
779,0,0,34.57,1
780,0,0,34.57,1
781,0,0,34.57,1
782,0,0,34.43,1
783,6,32.86,34.43,1
784,2,25.57,34.43,1
785,0,0,34.43,1
786,0,0,34.43,1
787,0,0,34.43,1
788,0,0,34.43,1
789,0,0,34.43,1
790,0,0,34.43,1
791,0,0,34.43,1
792,0,0,34.43,1
793,1,2.14,34.43,1
794,6,30.86,34.43,1
795,0,0,34.43,1
796,1,5.86,34.43,1
797,0,0,34.43,1
798,2,8.14,34.43,1
799,0,0,34.43,1
800,0,0,34.43,1
801,7,33.71,34.43,1
802,0,0,34.43,1
803,0,0,34.43,1
804,0,0,34.43,1
805,2,20.71,34.43,1
806,0,0,34.43,1
807,0,0,34.43,1
808,0,0,34.43,1
809,0,0,34.43,1
